Incident Number,bsee_activity,bsee_type_checkboxes,bsee_operation,bsee_cause_checkboxes,bsee_water_depth,bsee_property_damaged,bsee_possible_ocs_violations,bsee_violations_narrative,bsee_onsite_investigation_date,bsee_accident_classification,bsee_panel_formed,bsee_operator,bsee_form_revision,bsee_extract_status,bsee_source_url,bsee_sha256
EI-98-20081211-1930,EXPLORATION(POE) X DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K STRUCTURAL DAMAGE X CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K Boom heel H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER X MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Crane lift,X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,28 FT.,"NATURE Crane boom and associated equipment Severe $35,000",YES,"In accordance with USCG regulations, cranes installed on MODUs are regulated by the USCG. Thus, the MMS lacks jurisdiction to address the aforementioned deficiencies and possible violations.",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Tana Exploration Company LLC REPRESENTATIVE: Groth, Christine TELEPHONE: (281) 492-3247 CONTRACTOR: HERCULES OFFSHORE DRILLING REPRESENTATIVE: Guidry, Shannon TELEPHONE: (713) 350-8368",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081211-pdf.pdf,6d23d7e210b5665950119720053c3f82aa58ea47f5077a9342e9fa9e57b44759
BA-20081218-1400,EXPLORATION(POE) X (DOCD/POD),"HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Exploration II, L.P. DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE X O THER Tree bleeding gas REPRESENTATIVE/SUPERVISOR",PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Construction,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,155 FT.,"Master Valve flange bolts on tree Bolts fatigued from over-torque and excessive caisson motion. $5,000",NO,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Hall-Houston REPRESENTATIVE: Camp, Kathy TELEPHONE: (713) 201-9627 CONTRACTOR: REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081218-pdf.pdf,b517b1eb1b9d64528a5b35eb45a4325238c69a10293eb24f457af622edca4ba1
EI-251-20081231-1045,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS X CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. X INCIDENT >$25K Crane line broke H2S/15MIN./20PPM dropping load Marine Contracto REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER X MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,160 FT.,"7/8"" cable 24' lift basket Platform crane's 4 part block damage M/V crane M/V decking",YES,"Incident of Noncompliance (INC) G-110 was issued January 7, 2009, on location at EI 251 A, to document that McMoran Oil and Gas, LLC failed to protect health, safety and the environment by performing operations in an unsafe and unworkmanlike manner. On December 31, 2008, the platform crane's main load line parted during a platform to motor vessel load transfer. According to field documentation, the equipment being lifted weighed between 20,000 and 25,000 pounds. According to the load chart utilized at the time of the incident, the maximum weight capacity was 18,038 pounds at 45 feet radius for a dynamic lift. In addition, on January 7, 2009, the onsite inspectors found two load charts installed inside the crane cab. As per API Spec 2C 4.2.1.g. 6th edition, only one load current crane operation conditions.",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"McMoRan Oil & Gas LLC REPRESENTATIVE: Spencer, Blair TELEPHONE: (504) 582-4241 CONTRACTOR: Danos & Curole REPRESENTATIVE: Roger Davis TELEPHONE: (337) 945-2413",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/inspection-and-enforcement/081231-pdf.pdf,1344f3c7c4370f35236cda0fc6d6e6d71b891294f2885a009fdb99eceb075b27
UNKEYED-4429b8ff271c,"6. ACTIVITY, [] EXPLORATION(POE) [!I (DOCD/POD)",7. TYPE' 0HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY ~ POLLUTION X FIRE EXPLOSION LWC ~ HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER . SURFACE EQUIPMENT FAILURE OR D COLLISION DHISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM X REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,6. OPERATION' X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID OTHER ~~~~~~~~~·~~~~~~~-,,9. WATER DEPTH' 675 FT.,None N/A,23. POSSIBLE OCS VIOLATIONS RELATED,24. SPECIFY VIOLATIONS DIRECTLY OR None,ll-JUL-2006,MINOR,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Arguello Inc. REPRESENTATIVE' TELEPHONE' CONTRACTOR, REPRESENTATIVE' TELEPHONE'",B,ok,https://www.bsee.gov/sites/bsee.gov/files/reports/safety/09-jul-2006-p00315.pdf,4429b8ff271c0900a077fdcdafdbebaf09bd04f6ede8825365a3210e4d400976
SM-6524-20040309-1130,EXPLORATION(POE) l!J_ (] (DOCD/POD),~HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT · (>3 days) Other Injury FATALITY 0 ~ POLLUTION FIRE EXPLOSION LWC ~ H ISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR D COLLISION 0HISTORIC >$25K STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN. /2.0PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE x OTHER Rig Installation REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE X SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H20 TREATING OVERBOARD DRILLING FLUID OTHER ~~~~~~~~~~~~~~~~-,,430 FT.,"none by helicopter to Marion Hospital in Santa Ma~ia. ankles, and fractures in his left foot.",23. POSSIBLE OCS VIOLATIONS RELATED,24. SPECIFY VIOLATIONS DIRECTLY OR 30CFR 250.107 INC G-112 issued 3/9/04,,MINOR,29. ACCIDENT INVESTIGATION PANEL FORMED: NO John Hime I,Arguello Inc. REPRESENTATIVE: TELEPHONE: CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/safety/09-mar-2004-p00450.pdf,48bb6204394bc5208a074fc98be9070478fedd30d73753a4b9ceb43b22695df1
ST-308-20090108-0130,X EXPLORATION(POE) (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION X FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,484 FT.,"Engine main wiring harness, control Burning boards, rubber hoses. Engine room wiring and lighting. Cold start air compressor, air dryer, various tools and items stored in engine room. $200,000",NO / melting and heat deformaton. has no recommendations to the,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO /,"Apache Corporation REPRESENTATIVE: Dugas, David TELEPHONE: (337) 354-8124 CONTRACTOR: Helmerich & Payne REPRESENTATIVE: Deer, Wade TELEPHONE: (800) 647-5338",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/data-type/090108-pdf.pdf,5c75bac8138eca6641b01a2c3983678aa3287ecd55d4a431a89b05650ea5f45a
GC-65-20090114-1530,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS X CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. Theresa INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Crew Change by Boat,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,1353 FT.,"NATURE Crane fastline, anti-two block assembly, and crane jib assembly. $9,700",NO OF DAMAGE: Houma District has no Office.,24. SPECIFY VIOLATIONS DIRECTLY OR N/a,,MINOR,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Shell Offshore Inc. REPRESENTATIVE: DiCarlo, TELEPHONE: (504) 728-6237 CONTRACTOR: REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/data-type/090114-pdf.pdf,a1247825937c139e3c8567e06adf45da64b75f942aa48f7df5879a70d4ae0e4c
EB-599-20090116-1710,X EXPLORATION(POE) DEVELOPMENT/PRODUCTION (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC X >$25K <=$25K STRUCTURAL DAMAGE CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM Inc. REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER,PRODUCTION X DRILLING WORKOVER COMPLETION HELICOPTER X MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL X WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,3241 FT.,"M/V C-Rover Hull Breach $126,000",NO,24. SPECIFY VIOLATIONS DIRECTLY OR,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Kerr-McGee Oil & Gas Corporation REPRESENTATIVE: Davidson, Judy TELEPHONE: (832) 636-8766 CONTRACTOR: Diamond Offshore Drilling, REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/data-type/090116-pdf.pdf,ecf4c4b99d767fab19bff75856a9566031a133dc2c7d2531b5ff7ab64924a5c6
EC-47-20090125-1125,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION 1 X LTA (1-3 days) X LTA (>3 days 1 RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM INC. REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,48 FT.,N/A,NO,,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Apache Corporation REPRESENTATIVE: Wetzel, Gary TELEPHONE: (337) 354-8130 CONTRACTOR: ISLAND OPERATORS CO. REPRESENTATIVE: Eskine, Richey TELEPHONE: (337) 201-1856",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/data-type/090125-pdf.pdf,18eb57323e21f0d383224c7ada416ba04590aa2b7d16c26c1483beddcd108fd1
WC-168-20090127-2135,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS X CRANE OTHER LIFTING DEVICE Partnership DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING X WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Zone Change well-A-2 with e-line,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID X OTHER 2 inch Nylon sling parted,43 FT.,N/A,YES,"24. SPECIFY VIOLATIONS DIRECTLY OR 1. I-102 (C) 30 CFR 250.108 - * Personnel utilized improper INDIRECTLY CONTRIBUTING. API RP 2D C.3.2.2c and C.5.2.1 rigging practice for lifting the lubricator. (The lubricator was equipped with a lifting bracket for use with a two part sling, but the decision was made to utilize a nylon sling cinched in a choker type manner just below the lifting bracket) * Personnel failed to provide suitable protection between the (nylon) sling and the lifting bracket on the lubricator.",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Linder Oil Company, A REPRESENTATIVE: Mike Luke TELEPHONE: (985) 395-8393 CONTRACTOR: REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/data-type/090127-pdf.pdf,e263f9ae8a7b7419916942d231cebee3f35b983de9070714b7472f629ef6fe43
EB-643-20090213-2200,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) X RW/JT (>3 days) 1 Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE Corporation DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,3650 FT.,None,NO,,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Kerr-McGee Oil & Gas REPRESENTATIVE: John Amberg TELEPHONE: (713) 822-8113 CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/data-type/090213-pdf.pdf,19f1163c2a1e922ab59c229203f5196dffb63c8ff2a79cb3b605e17b6b705ad5
EW-910-20090213-1000,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE X OTHER LIFTING DEVICEAir Tugger DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Construction,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,549 FT.,"NATURE P 2""X6"" aluminum scaffolding peg boards were knocked overboard. The building was not damaged and was to be discarded. $5,000",NO OF DAMAGE: Houma District has no Office.,24. SPECIFY VIOLATIONS DIRECTLY OR n/a,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"W & T Offshore, Inc. REPRESENTATIVE: Salter, Jeff TELEPHONE: (504) 210-8167 CONTRACTOR: REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/data-type/090213a-pdf.pdf,09b261a998118e7fd4fc9028516df5e6c848437819b4e3cffd02a095e077c744
ST-300-20090213-1012,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS X CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. Theresa INCIDENT >$25K H2S/15MIN./20PPM X REQUIRED MUSTER X SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER Cranes and Construction,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,337 FT.,"Equipment damage was torque tubes, linkage, bolts, and gaskets.",NO,24. SPECIFY VIOLATIONS DIRECTLY OR N/a,,MINOR,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"Shell Offshore Inc. REPRESENTATIVE: DiCarlo, TELEPHONE: (504) 728-6237 CONTRACTOR: REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/data-type/090213b-pdf.pdf,e7b0bd767bba948b599b7e5a50f53c414cef6db87c044f98ee7f173cd7db192f
HI-39-20090215-1315,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) X LTA (>3 days 1 RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE OR COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS X CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM INC. REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID X OTHER Operator lacks lift procedures,36 FT.,NATURE N/A N/A,NO,24. SPECIFY VIOLATIONS DIRECTLY OR INDIRECTLY N/A,,,,Merit Energy Company REPRESENTATIVE: Doug Schaefer TELEPHONE: (361) 579-6111 CONTRACTOR: ISLAND OPERATORS CO. REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/data-type/090215-pdf.pdf,d5af7e6ba24baff4e6511e8ce7f8e53873a3235d868f025f9d99fe9dfc0d5987
MP-41-20090217-0730,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION LTA (1-3 days) LTA (>3 days RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY X POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER 29.399934 COMPLETION -88.969722 HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. OTHER,DEVELOPMENT/PRODUCTION X EQUIPMENT FAILURE HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,51 FT.,No physical property damage.,YES,24. SPECIFY VIOLATIONS DIRECTLY OR E-100 - Pollution - Shut-in. G-110 - Pollution - Shut-in.,,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,Chevron U.S.A. Inc. REPRESENTATIVE: Chris Williams TELEPHONE: (985) 534-6738 CONTRACTOR: REPRESENTATIVE: TELEPHONE:,B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/data-type/090217-pdf.pdf,efdfd54ba5799d116a006d55e64bf2a418b00563b27860a10c1938152ccda920
WC-639-20090227-1120,EXPLORATION(POE) X (DOCD/POD),HISTORIC INJURY REQUIRED EVACUATION 1 X LTA (1-3 days) X LTA (>3 days 1 RW/JT (1-3 days) RW/JT (>3 days) Other Injury FATALITY POLLUTION FIRE EXPLOSION LWC HISTORIC BLOWOUT UNDERGROUND SURFACE DEVERTER SURFACE EQUIPMENT FAILURE COLLISION HISTORIC >$25K INVESTIGATION REPORT STRUCTURAL DAMAGE HOURS X CRANE OTHER LIFTING DEVICE DAMAGED/DISABLED SAFETY SYS. INCIDENT >$25K H2S/15MIN./20PPM REQUIRED MUSTER SHUTDOWN FROM GAS RELEASE OTHER REPRESENTATIVE/SUPERVISOR,X PRODUCTION DRILLING WORKOVER COMPLETION HELICOPTER MOTOR VESSEL PIPELINE SEGMENT NO. X OTHER crane maintenance,DEVELOPMENT/PRODUCTION EQUIPMENT FAILURE X HUMAN ERROR EXTERNAL DAMAGE SLIP/TRIP/FALL WEATHER RELATED LEAK UPSET H2O TREATING OVERBOARD DRILLING FLUID OTHER,362 FT.,None N/A $,YES Regional Office of Safety industry's awareness of the the assemble and disassemble of,"G-110 An unsafe unworkmanlike decision which led to the serious injury was made when personnel failed to fully analyze the task of disassembling the crane boom. * Personnel failed to follow recommendations in API RP 2D Appendix F for disassembling the crane boom. API RP 2D C.4.3.3 (a) states ""Booms which are being assembled or disassembled on the deck, with or without support of the boom harness, shall be securely blocked to prevent dropping of the boom and/or boom section"". * Personnel utilized an insufficient rigging practice to support the boom. * Personnel failed to utilize any boom stand to ""securely block"" the boom prior to removing the pins. * The failure to recognize critical warning signs and then implement Stop Work Authority allowed the incident to",,,29. ACCIDENT INVESTIGATION PANEL FORMED: NO,"McMoRan Oil & Gas LLC REPRESENTATIVE: Spencer, Blair TELEPHONE: (504) 582-4241 CONTRACTOR: REPRESENTATIVE: TELEPHONE:",B,ok,https://www.bsee.gov/sites/bsee.gov/files/incident-summaries/data-type/090227-pdf.pdf,b742f40ae0966cbbd2801f75d630f951ef337f3b282fb01992ed6b9ca6faf447
